factor,collapse_start,collapse_end,duration_trading_days,start_sharpe,start_boundary,minimum_event_sharpe,minimum_sharpe_minus_boundary
MOM,1983-11-25,1983-12-30,25,-1.2766761853501938,-1.1915486795972776,-1.7473415136865207,-0.5185299616737513
MOM,1984-01-25,1984-04-02,48,-1.4303105867021428,-1.4249455877058974,-2.1008389730355845,-0.4217360850211511
MOM,1984-04-11,1984-05-10,21,-1.823179290795497,-1.7814814627199815,-2.188576825805277,-0.325173071847245
SMB,1984-05-25,1984-08-24,64,-1.0773027260459507,-0.9247417356497699,-1.773405361986336,-0.5950039918961387
HML,1986-06-12,1986-06-23,8,-1.3153048502612221,-1.2079327207858281,-1.5092466319880817,-0.2988274712765353
HML,1989-11-08,1989-12-15,27,-1.06943434842435,-1.0403407004768206,-1.8577487669315573,-0.7658819924464257
HML,1990-01-04,1990-01-24,15,-1.3103909286616984,-1.1986030254741395,-1.6718037906423473,-0.46377256385465326
HML,1990-03-16,1990-08-17,108,-1.6981803257683261,-1.4198833603250849,-3.9491309491836835,-1.8072704428584108
MKT_RF,1990-08-17,1990-11-08,59,-0.9354928257398268,-0.8046904239048314,-1.7310632012930929,-0.7055940428175445
SMB,1990-09-25,1990-12-05,51,-2.162808362063718,-2.0594274103324137,-3.0264830273667145,-0.8679357472046201
CMA,1991-02-15,1991-02-25,6,-0.845479298019148,-0.8314982329456564,-0.9290590133888833,-0.09786210116021177
CMA,1991-07-22,1992-01-15,124,-0.7225189714636713,-0.6444712164050972,-3.256724694497822,-2.0416213026192374
RMW,1993-04-21,1993-05-18,20,0.15203215078467192,0.1856380192301006,-0.15620334588495255,-0.30737074981175916
RMW,1993-05-28,1994-01-05,154,0.005354804090162152,0.08979428913013465,-3.019792302672439,-2.2133477733318836
MOM,1994-07-25,1994-10-14,59,-0.7637049071299908,-0.7345226785173642,-1.5829003929918206,-0.5361138023335792
SMB,1997-04-22,1997-06-02,29,-1.7969440003712507,-1.7283585415504443,-2.2967240624492655,-0.5378632596719466
SMB,1997-06-10,1997-06-17,6,-1.955178021526823,-1.9122755304048005,-2.1235964514157493,-0.1963945568180394
SMB,1998-08-21,1998-11-27,69,-2.159924700548531,-2.1364286717778977,-3.9881401303013293,-1.5799565706485348
HML,1998-12-22,1999-02-11,35,-1.1017748285211213,-1.0623302366455385,-1.4563523835529852,-0.2864382705554074
CMA,1999-01-15,1999-02-01,11,-0.9081837198028507,-0.8875183307193713,-1.037118994607195,-0.14244560699676123
SMB,1999-03-04,1999-04-12,27,-2.8529766643933074,-2.779325988123425,-3.0916856418360927,-0.2738805947161067
HML,1999-03-05,1999-04-16,30,-1.2958046577607847,-1.2607901795857925,-1.9380155738758489,-0.5651151831943109
RMW,1999-03-17,1999-06-21,67,-0.6681518866979291,-0.6166073799810039,-1.25086818014429,-0.614380407283722
RMW,1999-08-26,2000-03-22,145,-1.1699555461449758,-1.135094546586967,-4.467004607513914,-1.9412664654575051
HML,1999-10-01,1999-10-21,15,-1.9098833983842287,-1.817617483038124,-2.396767955457656,-0.5521190388267732
CMA,1999-10-06,1999-10-13,6,-1.055084840921726,-0.9625563658186461,-1.3441236940240167,-0.37518744826004324
HML,1999-11-18,2000-01-10,36,-2.014651839814302,-1.9871387550402964,-2.414279701016583,-0.2567794683832867
HML,2000-02-07,2000-03-13,25,-2.3290001196778296,-2.285209812649878,-2.876400412738311,-0.47236184780577917
MKT_RF,2000-12-14,2001-01-25,28,-0.3793572288656986,-0.30833200163587193,-0.7560013032371332,-0.4392837003809801
MOM,2001-01-19,2001-02-01,10,-0.09957927395402218,0.0018854606625025028,-0.17243004154461714,-0.1610564437512891
MKT_RF,2001-02-02,2001-05-07,65,-0.45978260627613304,-0.3717356542664667,-1.5257920929102406,-1.0535517738006144
MOM,2001-03-01,2001-03-13,9,-0.13136296327912542,-0.10986742069972433,-0.3818283149486988,-0.2535553359955423
MKT_RF,2001-06-04,2001-10-11,88,-0.7666139667547268,-0.6752730608772133,-1.8882240480883132,-0.8505648140942974
MOM,2003-05-30,2003-10-31,109,-0.5276543112258066,-0.5020819651030177,-2.137035649006699,-1.1425485803734992
MOM,2004-02-02,2004-04-01,43,-1.3915229268670453,-1.335001960750687,-2.2546585069331773,-0.7872927529378488
CMA,2004-11-03,2004-11-16,10,-0.8060766850758403,-0.7363962699451281,-1.0249506904603904,-0.2822526503736871
CMA,2004-11-24,2005-06-01,130,-0.7963856551931358,-0.7549988439215327,-2.5222850107168124,-1.6759747727117893
HML,2007-07-05,2008-01-28,143,-0.5426162497230905,-0.5279217236093767,-3.787800057373899,-2.4788560925975407
SMB,2007-11-16,2007-12-17,21,-1.2712767474287558,-1.0967807242047503,-1.5822834998816155,-0.42370089633274644
SMB,2008-01-03,2008-01-18,12,-1.3333085836865082,-1.2443096662306585,-1.6335625274906531,-0.3557714067067377
SMB,2008-02-21,2008-03-20,21,-1.4898445721872853,-1.3870338912801565,-1.647367365976752,-0.25551224185294386
MKT_RF,2008-05-21,2008-08-07,55,-0.4503231048798645,-0.4033786249082735,-1.1190274631274821,-0.6294820831591708
MKT_RF,2008-09-09,2008-12-29,78,-0.696944955727186,-0.6194631911923507,-1.8877758376670213,-1.150984422538311
MKT_RF,2009-02-25,2009-03-09,9,-1.1545004141534214,-1.12526781352385,-1.3135380914318098,-0.17497505455869566
MOM,2009-10-07,2009-12-31,60,-1.7883012318285991,-1.732176484895918,-2.6448157258483866,-0.7531405725979927
MOM,2010-01-15,2010-03-15,40,-2.1447496949411815,-2.1050247053385043,-2.8517797346013114,-0.5034955199619349
RMW,2012-12-13,2013-03-18,64,-0.8505437027381196,-0.7963262628995927,-1.6583279312317905,-0.5662735509804264
RMW,2013-04-09,2013-09-25,119,-1.2620483739380415,-1.1898543878178511,-3.2455485473004946,-1.4822102374009969
CMA,2014-03-13,2014-03-21,7,-1.2693818532283059,-1.2313930523135925,-1.4579713756886707,-0.2137157116560171
SMB,2014-09-15,2014-10-27,31,-0.8429547544831743,-0.8383279120591551,-1.5643435845211868,-0.6775132062314235
SMB,2014-11-28,2014-12-08,7,-1.1562192836697924,-1.0403255861649292,-1.2884205607309065,-0.2440558345036279
CMA,2015-04-23,2015-05-21,21,-1.8971524307062275,-1.835266615643872,-2.202835884841513,-0.3548168224794215
CMA,2015-07-10,2015-08-05,19,-2.150543525329075,-2.133866292901637,-2.7979087329104746,-0.6325338588106635
MKT_RF,2016-01-15,2016-02-29,30,-0.24748451228831503,-0.2281624072612718,-0.6924766955935159,-0.3969037182730316
MOM,2016-08-01,2016-10-04,46,-0.5038607180135211,-0.46865646632787783,-1.0298733588619482,-0.43710688342489057
MOM,2016-10-25,2017-03-02,88,-0.7579094356711321,-0.6629724023434682,-1.9392294229331875,-0.9803372236813017
MOM,2017-03-23,2017-04-11,14,-1.3515462319598595,-1.164329096801497,-1.4096903402069632,-0.23610369772106776
SMB,2019-05-30,2019-09-09,71,-1.6370689026851808,-1.517825059839383,-2.2948632850595274,-0.6279617549515142
SMB,2020-03-10,2020-03-18,7,-2.146072906539107,-1.9427566185294973,-2.599208272766979,-0.6270460618511464
RMW,2020-04-17,2020-04-27,7,-0.7874480826746373,-0.6627982702395046,-1.068295572406855,-0.403275156733344
RMW,2021-02-05,2021-02-19,10,-0.8026576835950852,-0.7424696608631455,-1.019889372783892,-0.2641738680873976
CMA,2023-12-27,2024-01-22,17,-2.064983702704983,-2.0027390719932336,-2.3620545069553347,-0.3143666753894343
RMW,2025-06-20,2025-07-09,13,-0.6285037830351937,-0.6065416747602386,-0.7184302218775114,-0.10780898058693744
RMW,2025-08-04,2025-09-10,27,-0.66388869837993,-0.6578404712897036,-0.8616162128929923,-0.19888036975768963
RMW,2025-09-18,2026-01-28,91,-0.9293040271159385,-0.7545811023918887,-1.5184700585605655,-0.6949776994441507
RMW,2026-04-01,2026-05-29,41,-1.1222397308654182,-1.112114085924281,-1.9635256534477117,-0.6493000046521877
