factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
RMW,1977-01-12,false_positive,too_early_to_attribute,1993-04-21,4113.0,False,False,False
RMW,1978-01-03,false_positive,too_early_to_attribute,1993-04-21,3868.0,False,False,False
RMW,1978-01-17,false_positive,too_early_to_attribute,1993-04-21,3858.0,False,False,False
RMW,1978-04-17,false_positive,too_early_to_attribute,1993-04-21,3796.0,False,False,False
RMW,1978-11-01,false_positive,too_early_to_attribute,1993-04-21,3657.0,False,False,False
RMW,1980-01-02,false_positive,too_early_to_attribute,1993-04-21,3363.0,False,False,False
RMW,1980-03-27,false_positive,too_early_to_attribute,1993-04-21,3303.0,False,False,False
RMW,1981-09-28,false_positive,too_early_to_attribute,1993-04-21,2924.0,False,False,False
RMW,1981-10-08,false_positive,too_early_to_attribute,1993-04-21,2916.0,False,False,False
RMW,1982-07-14,false_positive,too_early_to_attribute,1993-04-21,2724.0,False,False,False
RMW,1984-08-02,false_positive,too_early_to_attribute,1993-04-21,2203.0,False,False,False
RMW,1985-11-04,false_positive,too_early_to_attribute,1993-04-21,1886.0,False,False,False
RMW,1986-04-02,false_positive,too_early_to_attribute,1993-04-21,1784.0,False,False,False
RMW,1986-05-05,false_positive,too_early_to_attribute,1993-04-21,1761.0,False,False,False
RMW,1987-10-20,false_positive,too_early_to_attribute,1993-04-21,1391.0,False,False,False
RMW,1989-04-20,false_positive,too_early_to_attribute,1993-04-21,1012.0,False,False,False
RMW,1989-05-02,false_positive,too_early_to_attribute,1993-04-21,1004.0,False,False,False
RMW,1989-05-24,false_positive,too_early_to_attribute,1993-04-21,988.0,False,False,False
RMW,1989-07-26,false_positive,too_early_to_attribute,1993-04-21,945.0,False,False,False
RMW,1989-08-08,false_positive,too_early_to_attribute,1993-04-21,936.0,False,False,False
RMW,1989-10-16,false_positive,too_early_to_attribute,1993-04-21,888.0,False,False,False
RMW,1989-12-27,false_positive,too_early_to_attribute,1993-04-21,838.0,False,False,False
RMW,1990-08-02,false_positive,too_early_to_attribute,1993-04-21,687.0,False,False,False
RMW,1990-08-27,false_positive,too_early_to_attribute,1993-04-21,670.0,False,False,False
